xiaoqu,zhongjia
洋桥 海户西里32号院,单价62096元/m²
双榆树 知春东里,单价114799元/m²
德胜门 观河锦苑,单价140981元/m²
大红门 临泓路六号院,单价58227元/m²
霍营 龙锦苑东四区,单价41425元/m²
望京 花家地西里一区,单价75387元/m²
宋家庄 政馨园一区,单价57486元/m²
西罗园 珠江骏景北区,单价52083元/m²
德胜门 马甸南村,单价128378元/m²
成寿寺 华芳园,单价53896元/m²
德胜门 普天大院,单价144665元/m²
德胜门 德隆家园9号院,单价107176元/m²
国展 左家庄北里,单价66508元/m²
赵公口 苗圃东里,单价55406元/m²
芍药居 吉利家园,单价72036元/m²
西三旗 育新花园,单价82946元/m²
德胜门 德隆家园6号院,单价129669元/m²
芍药居 芍药居北里一区,单价92715元/m²
德胜门 德胜里一区,单价143151元/m²
德胜门 吉第嘉园,单价149682元/m²
芍药居 芍药居北里二区,单价72615元/m²
芍药居 芍药居北里二区,单价77329元/m²
成寿寺 华芳园,单价47856元/m²
洋桥 东丽温泉家园,单价57719元/m²
木樨园 永外果园,单价55758元/m²
北七家 名佳花园三区,单价42469元/m²
惠新西街 千鹤家园,单价79712元/m²
亚运村 慧忠北里第一社区,单价69480元/m²
知春路 蓟门里东区,单价83799元/m²
北七家 名佳花园三区,单价43911元/m²
安定门 黄寺大街28号院,单价87517元/m²
德胜门 新街口外大街10号,单价138975元/m²
德胜门 新明胡同,单价143084元/m²
牛街 祥和家苑,单价91962元/m²
三里屯 三里屯SOHO公寓,单价74948元/m²
北七家 名佳花园三区,单价46901元/m²
芍药居 芍药居北里二区,单价73417元/m²
五道口 展春园小区,单价87057元/m²
北七家 望都新地,单价44551元/m²
六铺炕 六铺炕一区,单价113445元/m²
成寿寺 四方景园三区,单价54208元/m²
西三旗 育新嘉园,单价53497元/m²
芍药居 芍药居北里一区,单价50765元/m²
和平里 和平街十一区,单价76711元/m²
回龙观 龙腾苑三区,单价48073元/m²
大红门 建欣苑五里,单价52509元/m²
西罗园 华润小区,单价60483元/m²
安定门 六铺炕,单价114916元/m²
洋桥 洋桥北里,单价63264元/m²
安贞 安华里一区,单价77396元/m²
芍药居 芍药居北里三区,单价77473元/m²
芍药居 芍药居甲2号院,单价83249元/m²
亚运村 慧忠北里第二社区,单价83024元/m²
安贞 安贞里一区,单价71272元/m²
回龙观 北郊农场宿舍,单价49322元/m²
金融街 宣武门西大街,单价103905元/m²
西罗园 珠江骏景南区,单价57645元/m²
德胜门 人定湖西里,单价135157元/m²
和平里 和平街西苑,单价77529元/m²
交通大学 交大东路31号院,单价99857元/m²
惠新西街 千鹤家园,单价83507元/m²
天通苑 天通苑北二区,单价39592元/m²
皂君庙 皂君东里,单价85321元/m²
亚运村 亚奥观典,单价84553元/m²
洋桥 海户西里,单价54682元/m²
五道口 华清嘉园,单价112517元/m²
西直门 明光村小区,单价89871元/m²
刘家窑 鑫兆雅园北区,单价59414元/m²
金融街 长安兴融中心,单价135915元/m²
西坝河 西坝河东里,单价73862元/m²
赵公口 彩虹城四区,单价59273元/m²
芍药居 芍药居北里一区,单价63828元/m²
望京 南湖中园二区,单价77158元/m²
六铺炕 前马厂胡同,单价133327元/m²
惠新西街 惠新西街,单价73689元/m²
成寿寺 方庄南路18号院,单价50450元/m²
望京 南湖东园二区,单价88638元/m²
芍药居 芍药居北里三区,单价82023元/m²
望京 花家地北里,单价65999元/m²
小西天 今典花园,单价96139元/m²
赵公口 彩虹城四区,单价59097元/m²
国展 静安里,单价64971元/m²
灯市口 灯市口大街,单价121796元/m²
皂君庙 皂君庙乙2号院,单价83223元/m²
和平里 和平里七区,单价116051元/m²
燕莎 三源里街,单价70362元/m²
角门 司达小区,单价59288元/m²
亚运村小营 紫薇天悦,单价80967元/m²
大红门 苗圃西里,单价58461元/m²
西坝河 西坝河南里,单价72337元/m²
宋家庄 嘉和人家,单价58191元/m²
望京 花家地北里,单价77814元/m²
国展 左家庄北里,单价73480元/m²
牛街 白广路6号院,单价89588元/m²
木樨园 永外果园,单价52813元/m²
西罗园 华润小区,单价60000元/m²
德胜门 新风南里,单价132497元/m²
芍药居 芍药居北里一区,单价85669元/m²
清河 永泰东里,单价76179元/m²
德胜门 新明胡同,单价118187元/m²
永定门 建予园,单价68637元/m²
望京 南湖渠西里,单价71585元/m²
望京 花家地西里一区,单价65629元/m²
安宁庄 金达园,单价54689元/m²
芍药居 芍药居北里一区,单价95079元/m²
清河 永泰西里,单价74061元/m²
万泉河 万泉庄,单价113100元/m²
西罗园 珠江骏景北区,单价59027元/m²
知春路 蓟门里东区,单价86474元/m²
安宁庄 安宁里南区,单价59363元/m²
小西天 今典花园,单价91824元/m²
燕莎 霞光里30号院,单价70801元/m²
和平里 安定路,单价93087元/m²
德胜门 德隆家园9号院,单价114848元/m²
芍药居 芍药居甲2号院,单价95462元/m²
成寿寺 四方景园二区,单价59749元/m²
双榆树 知春里,单价100000元/m²
知春路 知春路13号院,单价86238元/m²
西罗园 西罗园南里小区,单价59960元/m²
奥林匹克公园 澳林春天二期,单价74655元/m²
